dbsinst,hash,tier
0,3056128005327771735,GEN-SIM-DIGI-RAW-HLTDEBUG
0,2605375147489848709,GEN-SIM-DIGI-RAW
0,599336277378948590,GEN-SIM-DIGI-HLTDEBUG-RECO
0,6995686245851510145,GEN-SIM-DIGI-HLTDEBUG
0,15009377059971169149,GEN-SIM-DIGI
0,17099856564108071342,GEN-SIM
0,231031813007488934,DIGI-RECO
0,10334471191130922230,FEVT
0,7035207760674774959,AODSIM
0,8018507906185063971,AOD
0,16090778450629466642,USER
0,11911646250350347817,ALCARECO
0,14291881035947991662,RECO
0,17534358115844215200,DIGI
0,14287032286338502131,SIM
0,10838965976163745574,GEN
0,4630623399186092121,RAW
0,7222225784508266348,FEVTDEBUGHLT
0,10332523238052226446,GEN-SIM-RAW-HLT
0,10162489688175361232,HLT
0,8978797273953499098,GEN-SIM-RAW-HLTDEBUG-RECODEBUG
0,7515066884848695677,GEN-RAWDEBUG
0,10161032165714876735,LHE
0,6185326907122659455,GEN-SIM-DIGI-RECODEBUG
0,2936577067622155125,ALCAPROMPT
0,11208602552171629314,DQM
0,13094330758258852128,GEN-SIM-RAWDEBUG
0,17328179590073971436,RAWDEBUG
0,13643370654074247481,GEN-SIM-RECODEBUG
0,6833398557910123797,RECODEBUG
0,3450116619393325522,DQMIO
0,4459826486789116633,PREMIX-RAW
0,1465121389640381225,MINIAODSIM
0,11668681306994644363,MINIAOD
0,825317109385359131,USER2
0,4630623399186092121,RAW
0,10838965976163745574,GEN
0,14287032286338502131,SIM
0,17534358115844215200,DIGI
0,14291881035947991662,RECO
0,11911646250350347817,ALCARECO
0,16090778450629466642,USER
0,15419577777076797004,HLTDEBUG
0,8018507906185063971,AOD
0,7035207760674774959,AODSIM
0,10334471191130922230,FEVT
0,7222225784508266348,FEVTDEBUGHLT
0,17099856564108071342,GEN-SIM
0,17028829349614535503,RAW-RECO
0,15009377059971169149,GEN-SIM-DIGI
0,231031813007488934,DIGI-RECO
0,3946281156122483633,GEN-SIM-DIGI-RECO
0,7197069998646614660,GEN-SIM-RAW
0,2605375147489848709,GEN-SIM-DIGI-RAW
0,6995686245851510145,GEN-SIM-DIGI-HLTDEBUG
0,15792634689896526652,GEN-SIM-RAW-HLTDEBUG
0,3056128005327771735,GEN-SIM-DIGI-RAW-HLTDEBUG
0,16559246218254726253,GEN-SIM-RECO
0,8580219864230234385,GEN-SIM-RAW-RECO
0,16813256773244053800,GEN-SIM-DIGI-RAW-RECO
0,599336277378948590,GEN-SIM-DIGI-HLTDEBUG-RECO
0,1480733864151584227,GEN-SIM-RAW-HLTDEBUG-RECO
0,2614481657009671380,GEN-SIM-DIGI-RAW-HLTDEBUG-RECO
0,11668681306994644363,MINIAOD
0,10161032165714876735,LHE
0,10332147474565312454,DBS3_DEPLOYMENT_TEST_TIER
0,13643370654074247481,GEN-SIM-RECODEBUG
0,1465121389640381225,MINIAODSIM
0,13094330758258852128,GEN-SIM-RAWDEBUG
0,4459826486789116633,PREMIX-RAW
0,3955104113295062497,GEN-SIM_STEFANO
0,11158440150613863776,GEN-RAW
0,3450116619393325522,DQMIO
1,825317109385359131,USER2
1,4630623399186092121,RAW
1,10838965976163745574,GEN
1,14287032286338502131,SIM
1,17534358115844215200,DIGI
1,14291881035947991662,RECO
1,11911646250350347817,ALCARECO
1,16090778450629466642,USER
1,15419577777076797004,HLTDEBUG
1,8018507906185063971,AOD
1,7035207760674774959,AODSIM
1,10334471191130922230,FEVT
1,7222225784508266348,FEVTDEBUGHLT
1,17099856564108071342,GEN-SIM
1,17028829349614535503,RAW-RECO
1,15009377059971169149,GEN-SIM-DIGI
1,231031813007488934,DIGI-RECO
1,3946281156122483633,GEN-SIM-DIGI-RECO
1,7197069998646614660,GEN-SIM-RAW
1,2605375147489848709,GEN-SIM-DIGI-RAW
1,6995686245851510145,GEN-SIM-DIGI-HLTDEBUG
1,15792634689896526652,GEN-SIM-RAW-HLTDEBUG
1,3056128005327771735,GEN-SIM-DIGI-RAW-HLTDEBUG
1,16559246218254726253,GEN-SIM-RECO
1,8580219864230234385,GEN-SIM-RAW-RECO
1,16813256773244053800,GEN-SIM-DIGI-RAW-RECO
1,599336277378948590,GEN-SIM-DIGI-HLTDEBUG-RECO
1,1480733864151584227,GEN-SIM-RAW-HLTDEBUG-RECO
1,2614481657009671380,GEN-SIM-DIGI-RAW-HLTDEBUG-RECO
1,11668681306994644363,MINIAOD
1,10161032165714876735,LHE
1,10332147474565312454,DBS3_DEPLOYMENT_TEST_TIER
1,13643370654074247481,GEN-SIM-RECODEBUG
1,1465121389640381225,MINIAODSIM
1,13094330758258852128,GEN-SIM-RAWDEBUG
1,4459826486789116633,PREMIX-RAW
1,3955104113295062497,GEN-SIM_STEFANO
1,11158440150613863776,GEN-RAW
1,3450116619393325522,DQMIO
1,3450116619393325522,DQMIO
1,7222225784508266348,FEVTDEBUGHLT
1,7035207760674774959,AODSIM
1,8018507906185063971,AOD
1,16090778450629466642,USER
1,11911646250350347817,ALCARECO
1,14291881035947991662,RECO
1,17534358115844215200,DIGI
1,14287032286338502131,SIM
1,10838965976163745574,GEN
1,4630623399186092121,RAW
1,17028829349614535503,RAW-RECO
1,16559246218254726253,GEN-SIM-RECO
1,8580219864230234385,GEN-SIM-RAW-RECO
1,1480733864151584227,GEN-SIM-RAW-HLTDEBUG-RECO
1,15792634689896526652,GEN-SIM-RAW-HLTDEBUG
1,7197069998646614660,GEN-SIM-RAW
1,3946281156122483633,GEN-SIM-DIGI-RECO
1,16813256773244053800,GEN-SIM-DIGI-RAW-RECO
1,2614481657009671380,GEN-SIM-DIGI-RAW-HLTDEBUG-RECO
1,3056128005327771735,GEN-SIM-DIGI-RAW-HLTDEBUG
1,2605375147489848709,GEN-SIM-DIGI-RAW
1,599336277378948590,GEN-SIM-DIGI-HLTDEBUG-RECO
1,6995686245851510145,GEN-SIM-DIGI-HLTDEBUG
1,15009377059971169149,GEN-SIM-DIGI
1,17099856564108071342,GEN-SIM
1,231031813007488934,DIGI-RECO
1,13094330758258852128,GEN-SIM-RAWDEBUG
1,17328179590073971436,RAWDEBUG
1,11208602552171629314,DQM
1,2936577067622155125,ALCAPROMPT
1,13643370654074247481,GEN-SIM-RECODEBUG
1,6833398557910123797,RECODEBUG
1,870969109405393432,RAW-HLT
1,5106213907448913136,RAW-HLY
1,472554329158952003,HLY
1,6185326907122659455,GEN-SIM-DIGI-RECODEBUG
1,10334471191130922230,FEVT
1,15419577777076797004,HLTDEBUG
1,15426119567804240017,RAWRECOSIMHLT
1,6353981699376924363,RAW-RECOSIMHLT
1,9909080565830272426,RECOSIMHLT
1,10161032165714876735,LHE
1,8978797273953499098,GEN-SIM-RAW-HLTDEBUG-RECODEBUG
1,10332523238052226446,GEN-SIM-RAW-HLT
1,10162489688175361232,HLT
1,7515066884848695677,GEN-RAWDEBUG
1,4466115963304435786,DQMROOT
1,11158440150613863776,GEN-RAW
1,6738314151452971153,FEVTHLTALL
1,1556351910712769160,DAVE
1,17583209816771536544,CRAP
1,5982542534898398433,PREMIXRAW
1,10332147474565312454,DBS3_DEPLOYMENT_TEST_TIER
1,1465121389640381225,MINIAODSIM
1,4459826486789116633,PREMIX-RAW
1,11668681306994644363,MINIAOD
1,8978797273953499098,GEN-SIM-RAW-HLTDEBUG-RECODEBUG
1,10161032165714876735,LHE
1,6185326907122659455,GEN-SIM-DIGI-RECODEBUG
1,7515066884848695677,GEN-RAWDEBUG
1,7035207760674774959,AODSIM
1,8018507906185063971,AOD
1,16090778450629466642,USER
1,11911646250350347817,ALCARECO
1,14291881035947991662,RECO
1,17534358115844215200,DIGI
1,14287032286338502131,SIM
1,10838965976163745574,GEN
1,4630623399186092121,RAW
1,7222225784508266348,FEVTDEBUGHLT
1,17028829349614535503,RAW-RECO
1,15419577777076797004,HLTDEBUG
1,16559246218254726253,GEN-SIM-RECO
1,8580219864230234385,GEN-SIM-RAW-RECO
1,1480733864151584227,GEN-SIM-RAW-HLTDEBUG-RECO
1,15792634689896526652,GEN-SIM-RAW-HLTDEBUG
1,7197069998646614660,GEN-SIM-RAW
1,3946281156122483633,GEN-SIM-DIGI-RECO
1,16813256773244053800,GEN-SIM-DIGI-RAW-RECO
1,2614481657009671380,GEN-SIM-DIGI-RAW-HLTDEBUG-RECO
1,3056128005327771735,GEN-SIM-DIGI-RAW-HLTDEBUG
1,2605375147489848709,GEN-SIM-DIGI-RAW
1,599336277378948590,GEN-SIM-DIGI-HLTDEBUG-RECO
1,6995686245851510145,GEN-SIM-DIGI-HLTDEBUG
1,15009377059971169149,GEN-SIM-DIGI
1,17099856564108071342,GEN-SIM
1,231031813007488934,DIGI-RECO
1,10334471191130922230,FEVT
1,11158440150613863776,GEN-RAW
1,4466115963304435786,DQMROOT
1,870969109405393432,RAW-HLT
1,5106213907448913136,RAW-HLY
1,472554329158952003,HLY
1,10332523238052226446,GEN-SIM-RAW-HLT
1,10162489688175361232,HLT
1,13094330758258852128,GEN-SIM-RAWDEBUG
1,17328179590073971436,RAWDEBUG
1,11208602552171629314,DQM
1,2936577067622155125,ALCAPROMPT
1,13643370654074247481,GEN-SIM-RECODEBUG
1,6833398557910123797,RECODEBUG
1,1465121389640381225,MINIAODSIM
1,11668681306994644363,MINIAOD
1,3450116619393325522,DQMIO
1,4459826486789116633,PREMIX-RAW
1,15419577777076797004,HLTDEBUG
1,5106213907448913136,RAW-HLY
1,472554329158952003,HLY
1,870969109405393432,RAW-HLT
1,4466115963304435786,DQMROOT
1,11158440150613863776,GEN-RAW
1,17028829349614535503,RAW-RECO
1,16559246218254726253,GEN-SIM-RECO
1,8580219864230234385,GEN-SIM-RAW-RECO
1,1480733864151584227,GEN-SIM-RAW-HLTDEBUG-RECO
1,15792634689896526652,GEN-SIM-RAW-HLTDEBUG
1,7197069998646614660,GEN-SIM-RAW
1,3946281156122483633,GEN-SIM-DIGI-RECO
1,16813256773244053800,GEN-SIM-DIGI-RAW-RECO
1,2614481657009671380,GEN-SIM-DIGI-RAW-HLTDEBUG-RECO
1,3056128005327771735,GEN-SIM-DIGI-RAW-HLTDEBUG
1,2605375147489848709,GEN-SIM-DIGI-RAW
1,599336277378948590,GEN-SIM-DIGI-HLTDEBUG-RECO
1,6995686245851510145,GEN-SIM-DIGI-HLTDEBUG
1,15009377059971169149,GEN-SIM-DIGI
1,17099856564108071342,GEN-SIM
1,231031813007488934,DIGI-RECO
1,10334471191130922230,FEVT
1,7035207760674774959,AODSIM
1,8018507906185063971,AOD
1,16090778450629466642,USER
1,11911646250350347817,ALCARECO
1,14291881035947991662,RECO
1,17534358115844215200,DIGI
1,14287032286338502131,SIM
1,10838965976163745574,GEN
1,4630623399186092121,RAW
1,7222225784508266348,FEVTDEBUGHLT
1,10332523238052226446,GEN-SIM-RAW-HLT
1,10162489688175361232,HLT
1,8978797273953499098,GEN-SIM-RAW-HLTDEBUG-RECODEBUG
1,7515066884848695677,GEN-RAWDEBUG
1,10161032165714876735,LHE
1,6185326907122659455,GEN-SIM-DIGI-RECODEBUG
1,2936577067622155125,ALCAPROMPT
1,11208602552171629314,DQM
1,13094330758258852128,GEN-SIM-RAWDEBUG
1,17328179590073971436,RAWDEBUG
1,13643370654074247481,GEN-SIM-RECODEBUG
1,6833398557910123797,RECODEBUG
1,3450116619393325522,DQMIO
1,4459826486789116633,PREMIX-RAW
1,1465121389640381225,MINIAODSIM
1,11668681306994644363,MINIAOD
